seq,firstname,lastname,age,street,city,state,zip,dollar,pick
1,Lillie,Brooks,55,Ejja Road,Varawak,SC,24402,$627.12,YELLOW
2,Eugene,Rogers,36,Ilocod Extension,Tecefoje,HI,53709,$4544.95,GREEN
3,Elmer,Lopez,43,Luma Key,Fehesuw,TX,10936,$6676.44,RED
4,Dorothy,Mitchell,36,Vulec Avenue,Jerineogi,MT,83685,$817.68,GREEN
5,Virginia,Russell,40,Rerwur Key,Lottidve,NJ,67642,$9988.36,GREEN
6,Nina,Medina,56,Gedi Parkway,Luhaha,DC,37582,$5323.37,YELLOW
7,Dominic,Moss,22,Riap Mill,Picalot,TX,05662,$4594.60,WHITE
8,Ricky,Edwards,36,Ugukil Park,Suwombi,MT,92846,$5146.05,YELLOW
9,Belle,Saunders,28,Niri Manor,Kudurhug,LA,20487,$4221.61,RED
10,Bernice,McKinney,41,Jucsa Boulevard,Ufmirgu,HI,42134,$7815.26,WHITE
11,Amy,Wilkerson,49,Mipek Avenue,Feurilu,ME,96745,$2724.77,YELLOW
12,Polly,Payne,31,Nepre Parkway,Uwemakod,SD,67849,$3028.04,BLUE
13,Patrick,Butler,60,Goojo Boulevard,Nelium,MI,09525,$5127.13,BLUE
14,Billy,Nunez,34,Najwov Place,Ogperel,LA,77994,$6315.05,YELLOW
15,Randy,Howell,24,Same Way,Ivuveggok,IN,60640,$5630.45,BLUE
16,Joel,Washington,24,Juccus Point,Bevrosip,WY,39806,$49.48,GREEN
17,Lelia,Fisher,36,Mathi Terrace,Ohlibir,IN,09729,$2574.69,BLUE
18,Gabriel,Stewart,32,Cetli Point,Roclohomo,WA,47225,$5180.00,GREEN
19,Lula,Patton,40,Zunve Center,Macdeil,WV,34586,$2439.62,GREEN
20,Terry,Patterson,18,Ketuc Pass,Kogdilaru,MN,81616,$9567.08,YELLOW
21,Wayne,Meyer,24,Kail Boulevard,Kefsuwpig,WY,52519,$7341.19,YELLOW
22,Marion,Lewis,43,Guamo Way,Cipgida,NV,14480,$8162.75,YELLOW
23,Jacob,Vasquez,46,Cetu Road,Jabicuh,NC,88622,$7778.87,WHITE
24,Walter,Newman,26,Pucene Place,Tabahwo,MS,76298,$3465.47,WHITE
25,Mitchell,Caldwell,54,Foce Key,Jeheise,RI,03618,$2411.31,GREEN
26,Herman,Santiago,18,Hibja Extension,Zuglujaku,FL,79350,$7443.09,RED
27,Walter,Elliott,44,Esnav Heights,Kitubtov,KS,83918,$2529.75,BLUE
28,Rosa,Bishop,34,Katera Grove,Helami,GA,68192,$2943.96,WHITE
29,Alta,Walton,23,Usla Mill,Riekejif,SD,19222,$8079.11,GREEN
30,Minerva,Francis,36,Gesi Pass,Bojfeir,HI,44899,$9573.79,WHITE
31,Lela,Allison,63,Cufsic Street,Hijzovpa,MN,04851,$8301.22,RED
32,Bryan,Fleming,20,Ruver Center,Haunitab,NC,16041,$9996.87,WHITE
33,Flora,Mann,52,Zehok Glen,Janbatuh,WA,08548,$7783.01,GREEN
34,Ann,Sanchez,49,Zivaj Center,Roulgab,ID,50230,$1485.63,BLUE
35,Zachary,West,52,Muhe Avenue,Pitavvu,MA,12272,$7381.59,BLUE
36,Georgie,Walsh,44,Almut Parkway,Wucfabnir,CT,28387,$8465.56,GREEN
37,Leona,Ortiz,39,Pakka Pike,Vegumo,IA,23393,$9512.91,YELLOW
38,Dale,Carlson,43,Wagidi Glen,Umrene,SC,77993,$6395.10,GREEN
39,Bobby,Moreno,53,Okirot Extension,Faraklol,MI,32434,$7994.66,WHITE
40,Sylvia,Harris,65,Zutco Parkway,Zapibibo,NE,78863,$7714.38,GREEN
41,Alex,Wright,50,Doccur Point,Momubkes,TN,42413,$224.15,WHITE
42,Roxie,Owens,30,Gevpov Drive,Uzoadesa,FL,70221,$6010.43,RED
43,Derek,Love,44,Novfa Highway,Zatabgav,ME,71630,$2639.55,RED
44,Shawn,Stevenson,35,Gubeve Plaza,Igowutis,OK,21976,$5810.76,YELLOW
45,George,Reed,55,Muoku Center,Nafsohce,UT,72900,$9685.93,BLUE
46,Glen,Morrison,35,Diiha Circle,Mehwathi,SD,36162,$4712.30,RED
47,Lily,Dunn,58,Sojbe Loop,Edfajel,VT,30562,$137.82,GREEN
48,Rosie,Wood,20,Lohla Avenue,Nolkuava,IL,55592,$7850.79,WHITE
49,Cecilia,Schneider,27,Vadec Pass,Avehingum,WI,87665,$4906.98,RED
50,Lenora,Stone,41,Goav Terrace,Wegukilem,UT,92687,$933.30,RED
51,Garrett,Arnold,55,Nijij Manor,Sulavbe,SD,60346,$698.56,YELLOW
52,Mae,Gutierrez,34,Nuen View,Pigafbis,ME,88903,$7230.86,RED
53,Marcus,Little,19,Fiefo Ridge,Comebimo,TX,06015,$1270.41,BLUE
54,Steven,Brady,45,Cifma Pike,Bahzeik,PA,68900,$1895.87,WHITE
55,Bill,Brady,47,Gulug Lane,Nusudveb,AL,84362,$7635.14,WHITE
56,Mary,Moreno,42,Gunped Way,Bewlona,NM,04668,$6944.28,YELLOW
57,Jose,Wolfe,59,Koppid Avenue,Amuuncad,OK,00834,$8274.78,BLUE
